group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merkle,verify,128,,,1826154137.0,ns,129
merkle,verify,128,,,3652859212.0,ns,258
merkle,verify,128,,,5493698903.0,ns,387
merkle,verify,128,,,7321201866.0,ns,516
merkle,verify,128,,,9126457510.0,ns,645
merkle,verify,128,,,10955267189.0,ns,774
merkle,verify,128,,,12782000183.0,ns,903
merkle,verify,128,,,14611653337.0,ns,1032
merkle,verify,128,,,16431365948.0,ns,1161
merkle,verify,128,,,18706077001.0,ns,1290
